coin_id,ts_utc,price,market_cap,total_volume
bitcoin,2025-07-26 17:04:36,118102.23966644937,2349863002298.899,31671374624.41095
bitcoin,2025-07-26 18:09:46,118079.04275303935,2349045007534.3403,30073838452.83746
bitcoin,2025-07-26 19:04:46,118120.07634924974,2350281780581.024,27535438094.444664
bitcoin,2025-07-26 20:01:49,118269.19800713999,2353679226804.9424,27696597075.949482
bitcoin,2025-07-26 21:04:00,117995.14181743098,2347841630185.916,26455773928.811455
bitcoin,2025-07-26 22:04:11,118062.58453453679,2349057035399.4937,25697951985.34304
bitcoin,2025-07-26 23:06:19,118101.98823621588,2349815370343.754,25582506440.17877
bitcoin,2025-07-27 00:07:19,117959.54234360624,2346959472845.027,25145925063.881348
bitcoin,2025-07-27 01:05:16,117945.5247329599,2346767008972.893,24309360326.774143
bitcoin,2025-07-27 02:03:59,118130.63946677245,2350565874472.4478,24236349560.77216
bitcoin,2025-07-27 03:04:41,118326.34147543131,2353978035034.789,24174561903.208393
bitcoin,2025-07-27 04:03:37,118212.9583457746,2352189740758.869,24133080832.473057
bitcoin,2025-07-27 05:08:40,118240.78550859624,2352806305893.3364,23839720526.98561
bitcoin,2025-07-27 06:04:56,118294.0574338393,2353673110195.83,23907120029.800983
bitcoin,2025-07-27 07:04:03,118316.68321599539,2354299740240.7593,23842869656.112534
bitcoin,2025-07-27 08:01:18,118156.90714339164,2351513881094.758,23706454032.268963
bitcoin,2025-07-27 09:04:26,117980.92024056273,2348023057824.437,23175453373.157413
bitcoin,2025-07-27 10:04:43,117913.85698992395,2346373604000.7305,23137214734.8477
bitcoin,2025-07-27 11:04:52,118273.13297840615,2353337264960.515,22496962565.13374
bitcoin,2025-07-27 12:07:50,118113.18300426703,2350023185288.185,22001718947.07648
bitcoin,2025-07-27 13:08:15,118130.65770916743,2350189279455.6553,22441540604.514297
bitcoin,2025-07-27 14:09:43,118229.04514416475,2352449838621.1704,22196514372.3793
bitcoin,2025-07-27 15:03:56,118418.39058336364,2356326761256.0376,22652806953.347034
bitcoin,2025-07-27 16:09:48,118822.34149147876,2363287089761.65,23312670645.26936
bitcoin,2025-07-27 17:07:00,119078.83970200707,2371069938194.0645,26964957989.466824
bitcoin,2025-07-27 18:09:48,119303.84497428122,2372816575288.0664,28218261572.990326
bitcoin,2025-07-27 19:08:24,119014.5606407292,2368633351149.707,28528856846.602787
bitcoin,2025-07-27 20:07:47,119008.53470562327,2368228590813.9526,28356816100.55344
bitcoin,2025-07-27 21:10:45,118878.73408698937,2366542412313.5386,28317963858.648163
bitcoin,2025-07-27 22:09:27,119470.87630947083,2374727863963.7563,29101891410.922314
bitcoin,2025-07-27 23:07:36,119516.2426260147,2378439141512.8696,29916416889.29025
bitcoin,2025-07-28 00:09:25,119434.4444449632,2376644280681.3267,30445240805.86875
bitcoin,2025-07-28 01:06:14,119278.09195839698,2373873055274.081,31241415313.414207
bitcoin,2025-07-28 02:04:52,119052.76137740196,2368800727902.1006,31782647048.110847
bitcoin,2025-07-28 03:09:42,119481.6013347002,2376736501645.027,32581597832.508537
bitcoin,2025-07-28 04:08:17,119331.74464609624,2373638382332.059,32732190161.85874
bitcoin,2025-07-28 05:04:37,119240.23150663702,2372877554621.3257,32957490593.940804
bitcoin,2025-07-28 06:08:55,119568.35054365265,2379705761579.8516,34181177266.268627
bitcoin,2025-07-28 07:05:50,119397.76938174861,2376963760612.0127,34480786729.498634
bitcoin,2025-07-28 08:00:21,118939.05286000959,2366770183184.2964,35940515391.42016
bitcoin,2025-07-28 09:08:25,119009.98465153869,2368436101170.1,35289405864.25276
bitcoin,2025-07-28 10:02:28,118930.20208901197,2366741626209.7505,35611209356.3147
bitcoin,2025-07-28 11:04:08,118759.96982107592,2363154369147.671,37310289840.36705
bitcoin,2025-07-28 12:02:32,118804.82575621677,2363718743022.658,36599383596.43348
bitcoin,2025-07-28 13:09:20,118828.90710731824,2365221336623.588,39588037596.93224
bitcoin,2025-07-28 14:04:20,118412.8584215169,2356990379085.5586,40682167954.44244
bitcoin,2025-07-28 15:08:24,117997.89804153176,2348455735369.235,43577030661.75968
bitcoin,2025-07-28 16:04:51,118177.79783373461,2351861977023.1353,43758659547.48105
bitcoin,2025-07-28 17:03:52,118068.19239063805,2351763751716.4556,40594653923.78503
bitcoin,2025-07-28 18:05:48,117666.6803124331,2342050446330.6733,41103192308.33207
bitcoin,2025-07-28 19:12:40,117983.76762327916,2345542924845.531,42304588033.74991
bitcoin,2025-07-28 20:09:26,117929.90291871164,2347144045344.5684,43340513439.191734
bitcoin,2025-07-28 21:07:36,118048.31974471512,2348313208591.6143,44003169167.12701
bitcoin,2025-07-28 22:04:20,118068.65334761185,2349288647918.9663,44484630334.62049
bitcoin,2025-07-28 23:02:14,117911.75723002375,2346903116929.571,41550877531.2401
bitcoin,2025-07-29 00:02:46,118003.30201607826,2349472897426.4688,43433742203.62158
bitcoin,2025-07-29 01:10:07,117953.89000610284,2346795795865.074,43608087986.575134
bitcoin,2025-07-29 02:05:36,117828.39156988336,2344916696400.4453,43185159873.06014
bitcoin,2025-07-29 03:07:51,118070.38638579378,2348728696455.536,43150935637.317055
bitcoin,2025-07-29 04:03:50,118610.72784496703,2359350660072.2563,44140226702.03693
bitcoin,2025-07-29 05:09:13,118583.480628655,2358565141739.244,44604332799.80549
bitcoin,2025-07-29 06:04:34,118771.38800747317,2363786718354.463,44007623993.417015
bitcoin,2025-07-29 07:01:31,118857.56364322016,2366395709660.959,44712487885.43942
bitcoin,2025-07-29 08:00:34,118932.51750116867,2366634142314.17,44794764249.30357
bitcoin,2025-07-29 09:04:58,118866.53867364993,2366147335901.178,44378583908.63212
bitcoin,2025-07-29 10:04:28,118788.02259450633,2364188621123.202,40634659988.1304
bitcoin,2025-07-29 11:04:47,118296.67075858342,2354548148944.4097,41305787384.5359
bitcoin,2025-07-29 12:08:29,118472.78453750764,2356776966904.795,41339629291.235214
bitcoin,2025-07-29 13:05:00,118905.15267838027,2365776690223.138,41197235441.54724
bitcoin,2025-07-29 14:04:55,118560.62047564103,2359563637954.4644,40579763109.06892
bitcoin,2025-07-29 15:00:36,118118.04426340458,2351834365858.6353,40933624181.64653
bitcoin,2025-07-29 16:09:49,117428.45655222486,2337813591818.4746,42245280846.18542
bitcoin,2025-07-29 17:01:11,117686.52229125002,2341844559120.8726,43658003831.89778
bitcoin,2025-07-29 18:09:40,117718.45053526506,2343660911276.4614,43288863886.37689
bitcoin,2025-07-29 19:07:20,117575.1419571779,2340235594685.2217,42779646203.80364
bitcoin,2025-07-29 20:03:08,117567.54860130284,2339493490620.9824,42671940818.05191
bitcoin,2025-07-29 21:04:17,117342.64541896585,2334198211995.9067,43767197236.85645
bitcoin,2025-07-29 22:07:51,117533.73703656161,2339621939789.5967,43552681525.880104
bitcoin,2025-07-29 23:03:09,117803.58616742294,2344161789771.781,42569740533.96025
bitcoin,2025-07-30 00:06:54,117830.59603074304,2345386802061.0337,42510545896.97181
bitcoin,2025-07-30 01:09:26,117716.61382088641,2341633789106.714,42138798859.58754
bitcoin,2025-07-30 02:02:39,117892.32824009564,2345856878112.465,42171753470.55349
bitcoin,2025-07-30 03:01:06,118031.9160949503,2348830134582.575,41214540170.48169
bitcoin,2025-07-30 04:04:20,118155.9408448614,2351253937672.8657,40240281128.18014
bitcoin,2025-07-30 05:08:34,117984.57378454941,2347888242543.418,39542074872.93422
bitcoin,2025-07-30 06:03:39,117958.78644517295,2347263907916.7065,39617298070.30174
bitcoin,2025-07-30 07:06:13,118289.68219542848,2353764414753.5864,39079840276.867516
bitcoin,2025-07-30 08:09:12,118156.64116760273,2350503702654.3267,37849940042.01064
bitcoin,2025-07-30 09:08:54,118351.24010072777,2355901970045.403,38057574509.62991
bitcoin,2025-07-30 10:04:16,118130.81466116493,2350268596552.315,37810784720.85904
bitcoin,2025-07-30 11:04:59,118087.01206133983,2348832217823.892,37599905779.718185
bitcoin,2025-07-30 12:08:38,117556.11902256469,2339507848822.3027,37857587731.51139
bitcoin,2025-07-30 13:04:14,117747.42478474135,2342915513436.409,37713520301.793
bitcoin,2025-07-30 14:08:44,117720.75564107877,2341656437090.725,38303602886.29471
bitcoin,2025-07-30 15:02:32,118643.99441175944,2358874194188.938,35092271798.37042
bitcoin,2025-07-30 16:02:08,117971.40496803366,2348798293497.1426,37132714946.76842
